"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"3",1701951780598,"07/12/2023 12:23:00",1701951780598,0,"07/12/2023 12:23:00",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","8",9157,24011,24027,9157,24011,24027,1,9157,14870,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"MDPRF73934"
"4",1701951780598,"07/12/2023 12:23:00",1701951780598,0,"07/12/2023 12:23:00",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",15751,24011,24027,15751,24011,24027,1,15751,8276,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"MDPRF73934"
"5",1701951780598,"07/12/2023 12:23:00",1701951780598,0,"07/12/2023 12:23:00",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",21580,24011,24027,21580,24011,24027,1,21580,2447,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"MDPRF73934"
"6",1701951800793,"07/12/2023 12:23:20",1701951800793,0,"07/12/2023 12:23:20",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",20215,20200,20215,20215,20200,20215,1,20215,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"MDPRF73934"
"7",1701951800798,"07/12/2023 12:23:20",1701951800798,0,"07/12/2023 12:23:20",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",8926,20200,20217,8926,20200,20217,1,8926,11291,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"MDPRF73934"
"8",1701951800798,"07/12/2023 12:23:20",1701951800798,0,"07/12/2023 12:23:20",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",12989,20200,20217,12989,20200,20217,1,12989,7228,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"MDPRF73934"
"9",1701951800799,"07/12/2023 12:23:20",1701951800799,0,"07/12/2023 12:23:20",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",18652,20200,20217,18652,20200,20217,1,18652,1565,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"MDPRF73934"
"10",1701951816263,"07/12/2023 12:23:36",1701951816263,0,"07/12/2023 12:23:36",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",15484,15470,15484,15484,15470,15484,1,15484,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"MDPRF73934"
"11",1701951816267,"07/12/2023 12:23:36",1701951816267,0,"07/12/2023 12:23:36",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",5912,15470,15486,5912,15470,15486,1,5912,9574,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF73934"
"12",1701951816267,"07/12/2023 12:23:36",1701951816267,0,"07/12/2023 12:23:36",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",9359,15470,15486,9359,15470,15486,1,9359,6127,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF73934"
