"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"2",1727958758525,"03/10/2024 12:32:38",1727958758291,1,"03/10/2024 13:32:38",187387,10,"task-9qxs",NA,40420242,11793999,NA,"complete",NA,"66fe8d0e8c1d9c51d661beda","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1920x1080","1920x945",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq1","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",7878,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF58158"
"3",1727958764300,"03/10/2024 12:32:44",1727958764090,1,"03/10/2024 13:32:44",187387,10,"task-9qxs",NA,40420242,11793999,NA,"complete",NA,"66fe8d0e8c1d9c51d661beda","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1920x1080","1920x945",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq1","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",5788.40000009537,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF58158"
"4",1727958764361,"03/10/2024 12:32:44",1727958764097,1,"03/10/2024 13:32:44",187387,10,"task-9qxs",NA,40420242,11793999,NA,"complete",NA,"66fe8d0e8c1d9c51d661beda","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1920x1080","1920x945",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq1","Spreadsheet1","",NA,"END TASK",NA,"","","",13921,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF58158"
"1",1727958895796,"03/10/2024 12:34:55",1727958895962,1,"03/10/2024 13:34:55",187387,10,"task-9qxs",NA,40420329,11793954,NA,"complete",NA,"66fe8a6edfd43cd3ed9bbe8c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1279",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq5","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF06669"
"2",1727958906121,"03/10/2024 12:35:06",1727958906331,1,"03/10/2024 13:35:06",187387,10,"task-9qxs",NA,40420329,11793954,NA,"complete",NA,"66fe8a6edfd43cd3ed9bbe8c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1279",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq5","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",10027.4000000954,NA,"Enter Key","Elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF06669"
"3",1727958909477,"03/10/2024 12:35:09",1727958909698,1,"03/10/2024 13:35:09",187387,10,"task-9qxs",NA,40420329,11793954,NA,"complete",NA,"66fe8a6edfd43cd3ed9bbe8c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1279",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq5","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",3362,NA,"Enter Key","Duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF06669"
"4",1727958909534,"03/10/2024 12:35:09",1727958909700,1,"03/10/2024 13:35:09",187387,10,"task-9qxs",NA,40420329,11793954,NA,"complete",NA,"66fe8a6edfd43cd3ed9bbe8c","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","2560x1440","2560x1279",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq5","Spreadsheet1","",NA,"END TASK",NA,"","","",13738,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF06669"
"1",1727958925972,"03/10/2024 12:35:25",1727958925892,1,"03/10/2024 13:35:25",187387,10,"task-9qxs",NA,40420347,11794008,NA,"complete",NA,"66fe8d5572311afdf947abd8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF80434"
"2",1727958938274,"03/10/2024 12:35:38",1727958938211,1,"03/10/2024 13:35:38",187387,10,"task-9qxs",NA,40420347,11794008,NA,"complete",NA,"66fe8d5572311afdf947abd8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",12179.1000000015,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF80434"
"3",1727958940937,"03/10/2024 12:35:40",1727958940870,1,"03/10/2024 13:35:40",187387,10,"task-9qxs",NA,40420347,11794008,NA,"complete",NA,"66fe8d5572311afdf947abd8","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",2651.30000000075,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF80434"
