"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Slider_LH.object.2.Value","Random_ID"
"1",1695404180133,"22/09/2023 17:36:20",1695389780133,-4,"22/09/2023 09:36:20",142246,8,"questionnaire-txxf",NA,31798013,9404744,NA,"complete","kpdlnx","3ZR9AIQJUH8VIVCK1YJG22ITAAX408","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"81","SUPAMT29912"
"1",1695404286242,"22/09/2023 17:38:06",1695389886242,-4,"22/09/2023 09:38:06",142246,8,"questionnaire-txxf",NA,31798055,9404732,NA,"rejected - time limit reached","","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"100","SUPAMT06732"
"1",1695426001744,"22/09/2023 23:40:01",1695411601744,-4,"22/09/2023 15:40:01",142246,8,"questionnaire-txxf",NA,31798086,9404538,NA,"complete","khavxn","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"100","SUPAMT07686"
"1",1695426019467,"22/09/2023 23:40:19",1695411619467,-4,"22/09/2023 15:40:19",142246,8,"questionnaire-txxf",NA,31798092,9404571,NA,"rejected - time limit reached","","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"95","SUPAMT18856"
"1",1695404485571,"22/09/2023 17:41:25",1695390085571,-4,"22/09/2023 09:41:25",142246,8,"questionnaire-txxf",NA,31798131,9405098,NA,"complete","wfyrfl","3B837J3LDUV2KAYULCYDK1ZMXG0RS1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"40","SUPAMT19818"
"1",1695426163184,"22/09/2023 23:42:43",1695411763184,-4,"22/09/2023 15:42:43",142246,8,"questionnaire-txxf",NA,31798145,9405054,NA,"complete","octrgp","3VELCLL3GQI5N0URHYJZ7BYU4SM1F6","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"51","SUPAMT18856"
"1",1695404658352,"22/09/2023 17:44:18",1695390258352,-4,"22/09/2023 09:44:18",142246,8,"questionnaire-txxf",NA,31798211,9405092,NA,"complete","nlupwx","308Q0PEVBEC7MWZCMJ4DPET5IW2I9N","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"88","SUPAMT32911"
"1",1695404769923,"22/09/2023 17:46:09",1695390369923,-4,"22/09/2023 09:46:09",142246,8,"questionnaire-txxf",NA,31798247,9405105,NA,"complete","sqojza","39GHHAVOMLQ2K1D6N6TMK7XP9JE4JQ","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"29","SUPAMT57106"
"1",1695428952279,"23/09/2023 00:29:12",1695414552279,-4,"22/09/2023 16:29:12",142246,8,"questionnaire-txxf",NA,31799673,9405370,NA,"complete","ktjurh","3NKQQ8O3944OYD7TSGYTUD063C3DU6","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"100","SUPAMT57988"
"1",1695421968573,"22/09/2023 22:32:48",1695407568573,-4,"22/09/2023 14:32:48",142246,8,"questionnaire-txxf",NA,31799699,9405373,NA,"complete","gfuxqv","3KV0LJBBH8KZMFLP1F2R8S0G5R4RMB","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1680x1050","1680x901",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"64","SUPAMT87343"
"1",1695408259022,"22/09/2023 18:44:19",1695393859022,-4,"22/09/2023 10:44:19",142246,8,"questionnaire-txxf",NA,31799972,9405430,NA,"complete","fwxnzj","33LK57MYLZ4BM1KLVTSQ641L6Y8ZST","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"20","SUPAMT36650"
"1",1695409756364,"22/09/2023 19:09:16",1695395356364,-4,"22/09/2023 11:09:16",142246,8,"questionnaire-txxf",NA,31801003,9405624,NA,"complete","niedbe","3ZPBJO59KV0JTR19SHRUBYBG95QHD0","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"56","SUPAMT63407"
"1",1695410202620,"22/09/2023 19:16:42",1695395802620,-4,"22/09/2023 11:16:42",142246,8,"questionnaire-txxf",NA,31801090,9405561,NA,"complete","kphdnf","3NS0A6KXCA78WWBU0TY9HQIIINKZGF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"89","SUPAMT87722"
"1",1695410810308,"22/09/2023 19:26:50",1695396410308,-4,"22/09/2023 11:26:50",142246,8,"questionnaire-txxf",NA,31801428,9405708,NA,"complete","xinuil","3TVSS0C0E7Z876SV96D9H53PRFTTWX","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x562",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"57","SUPAMT16834"
"1",1695410712022,"22/09/2023 19:25:12",1695396312022,-4,"22/09/2023 11:25:12",142246,8,"questionnaire-txxf",NA,31801521,9405767,NA,"complete","uzdhmk","3DBQWDE4YCXGZA8RG94OI6KKIZD5NZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"58","SUPAMT61489"
"1",1695411752385,"22/09/2023 19:42:32",1695397352385,-4,"22/09/2023 11:42:32",142246,8,"questionnaire-txxf",NA,31801819,9405819,NA,"complete","zbllhb","3X1FV8S5J3QRNC6KZW96WK5MUB5GVL","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"48","SUPAMT73880"
"1",1695413591933,"22/09/2023 20:13:11",1695399191933,-4,"22/09/2023 12:13:11",142246,8,"questionnaire-txxf",NA,31802279,9405903,NA,"complete","aaikqk","388U7OUMFD02J1EICAFTAVT32PQ0RY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"85","SUPAMT95208"
"1",1695418228122,"22/09/2023 21:30:28",1695400228122,-5,"22/09/2023 11:30:28",142246,8,"questionnaire-txxf",NA,31802495,9405946,NA,"complete","uipsnm","337RC3OW0B1794KLAN6M9CAUQTDLVK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1255x708",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"100","SUPAMT50322"
"1",1695415802925,"22/09/2023 20:50:02",1695401402925,-4,"22/09/2023 12:50:02",142246,8,"questionnaire-txxf",NA,31802764,9405945,NA,"complete","lhpjpk","3HPZF4IVNSSVAULK2L07DSO1E1ZCY2","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"87","SUPAMT79308"
"1",1695415894239,"22/09/2023 20:51:34",1695401494239,-4,"22/09/2023 12:51:34",142246,8,"questionnaire-txxf",NA,31802786,9406007,NA,"complete","sqszbv","3JW0YLFXRZF0ZNWP4BIK4PAOV9GWWV","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"71","SUPAMT17949"
"1",1695416043007,"22/09/2023 20:54:03",1695401643007,-4,"22/09/2023 12:54:03",142246,8,"questionnaire-txxf",NA,31802837,9406002,NA,"complete","pwwafd","3HPZF4IVNSSVAULK2L07DSO1E1YCY1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"75","SUPAMT96230"
"1",1695417996321,"22/09/2023 21:26:36",1695403596321,-4,"22/09/2023 13:26:36",142246,8,"questionnaire-txxf",NA,31803234,9406053,NA,"complete","chbpeb","3SITXWYCN18N0K34JPIAJUBAUAJXBO","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"69","SUPAMT11139"
"1",1695426163392,"22/09/2023 23:42:43",1695411763392,-4,"22/09/2023 15:42:43",142246,8,"questionnaire-txxf",NA,31804777,9406575,NA,"complete","ykirci","3TAYZSBPLR7LGQH96MJCJTRELQI2SZ","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 116.0.0.0","1920x1080","1362x1185",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"23","SUPAMT45247"
"1",1695428730993,"23/09/2023 00:25:30",1695414330993,-4,"22/09/2023 16:25:30",142246,8,"questionnaire-txxf",NA,31805131,9406724,NA,"complete","nkbllc","38F71OA9GZV2JPGGAK2XR3MX25JMF5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"71","SUPAMT67003"
"1",1695451635031,"23/09/2023 06:47:15",1695437235031,-4,"22/09/2023 22:47:15",142246,8,"questionnaire-txxf",NA,31807259,9407367,NA,"complete","ugnafu","3JAOYWH7VO39CX7I7M1QHULXZ3UL98","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x800","766x633",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"48","SUPAMT23161"
"1",1695463448387,"23/09/2023 10:04:08",1695449048387,-4,"23/09/2023 02:04:08",142246,8,"questionnaire-txxf",NA,31807607,9407525,NA,"complete","ovaetw","3QIYRE09Y9GHBS78FM2CFG736N01ND","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"68","SUPAMT94497"
"1",1695479441338,"23/09/2023 14:30:41",1695465041338,-4,"23/09/2023 06:30:41",142246,8,"questionnaire-txxf",NA,31808724,9407693,NA,"complete","srcagv","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Life Happiness",2,"In","KAJBICHDGEF",NA,"100","SUPAMT28201"
"1",1695481998528,"23/09/2023 15:13:18",1695467598528,-4,"23/09/2023 07:13:18",142246,8,"questionnaire-txxf",NA,31809536,9407715,NA,"complete","idcilz","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1240x563",NA,NA,0,"Life Happiness",2,"In","ABKCJDIEHFG",NA,"100","SUPAMT99317"
