"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1695095980594,"19/09/2023 03:59:40",1695081580594,-4,"18/09/2023 19:59:40",142246,8,"questionnaire-79c5",NA,31727860,9382414,NA,"complete","wlsvkc","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1515x687",NA,NA,0,"ARI",2,"In","FGEHDICJBKA",NA,"Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","SUPAMT06323"
"1",1695096807262,"19/09/2023 04:13:27",1695082407262,-4,"18/09/2023 20:13:27",142246,8,"questionnaire-79c5",NA,31727936,9382460,NA,"complete","wingzd","3K2755HG5Y2ZFVA3XR3U8DZ3TQ2DFN","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"ARI",2,"In","GHFIEJDKCAB",NA,"Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","SUPAMT93511"
"1",1695406162015,"22/09/2023 18:09:22",1695380962015,-7,"22/09/2023 04:09:22",142246,8,"questionnaire-79c5",NA,31795005,9403868,NA,"complete","fkzkvv","3S3AMIZX304SCJQT6PDT07E0WBBDC9","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1280x1024","1280x881",NA,NA,0,"ARI",2,"In","IJHKGAFBECD",NA,"Not true","1","Somewhat true","2","Certainly true","3","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPAMT59227"
"1",1695395216075,"22/09/2023 15:06:56",1695380816075,-4,"22/09/2023 07:06:56",142246,8,"questionnaire-79c5",NA,31795374,9404069,NA,"complete","haoiff","3NLZY2D53VOF4WO4OOCC3PBM9Z9QL2","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"ARI",2,"In","JKIAHBGCFDE",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT23580"
"1",1695395857328,"22/09/2023 15:17:37",1695381457328,-4,"22/09/2023 07:17:37",142246,8,"questionnaire-79c5",NA,31795656,9404166,NA,"complete","bcooxv","3KGTPGBS63K1V39DVRECYU926LW2U4","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","KAJBICHDGEF",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT05707"
"1",1695399644393,"22/09/2023 16:20:44",1695385244393,-4,"22/09/2023 08:20:44",142246,8,"questionnaire-79c5",NA,31796452,9404432,NA,"complete","kzonkq","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"ARI",2,"In","CDBEAFKGJHI",NA,"Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","SUPAMT25764"
"1",1695399715170,"22/09/2023 16:21:55",1695385315170,-4,"22/09/2023 08:21:55",142246,8,"questionnaire-79c5",NA,31796484,9404493,NA,"complete","uvtrlq","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"ARI",2,"In","DECFBGAHKIJ",NA,"Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","SUPAMT23130"
"1",1695410728121,"22/09/2023 19:25:28",1695385528121,-7,"22/09/2023 05:25:28",142246,8,"questionnaire-79c5",NA,31796561,9404507,NA,"complete","ggtbjv","3LOZAJ85YJCTC7380WPZI18603HX2V","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1517x687",NA,NA,0,"ARI",2,"In","EFDGCHBIAJK",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","SUPAMT25665"
"1",1695400005117,"22/09/2023 16:26:45",1695385605117,-4,"22/09/2023 08:26:45",142246,8,"questionnaire-79c5",NA,31796611,9404631,NA,"complete","unazkd","32Z9ZLUT1RJAXOSYIQ5AMSNFDIZOH4","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"ARI",2,"In","HIGJFKEADBC",NA,"Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Not true","1","Certainly true","3","Somewhat true","2","SUPAMT61006"
"1",1695400279213,"22/09/2023 16:31:19",1695385879213,-4,"22/09/2023 08:31:19",142246,8,"questionnaire-79c5",NA,31796689,9404596,NA,"complete","dwsxfz","3FDJT1UU7A7FR4NOJWC8QE3GO4Y5KK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1440x900","1440x783",NA,NA,0,"ARI",2,"In","GHFIEJDKCAB",NA,"Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","Certainly true","3","SUPAMT47263"
