"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation.at.the.rate.of..9.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1730561671504,"02/11/2024 15:34:31",1730561671504,0,"02/11/2024 15:34:31",193496,6,"questionnaire-1tsk",NA,41067247,11991394,NA,"complete",NA,"67264597aad7dc1cf38b6e46","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1366x768","1366x641",NA,NA,0,"Consent",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF28820"
"1",1730561690182,"02/11/2024 15:34:50",1730561690182,0,"02/11/2024 15:34:50",193496,6,"questionnaire-1tsk",NA,41067274,11991396,NA,"complete",NA,"67264572cc277b29ef6ae7fb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 130.0.0.0","1440x900","1440x778",NA,NA,0,"Consent",12,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF98014"
"1",1730561765304,"02/11/2024 15:36:05",1730561765304,0,"02/11/2024 15:36:05",193496,6,"questionnaire-1tsk",NA,41067319,11991400,NA,"complete",NA,"672646dbe37bd6749fce8fa1","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent",12,"In","FGEHDICJBKA",NA,"In","MH_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF43781"
"1",1730561784396,"02/11/2024 15:36:24",1730561784396,0,"02/11/2024 15:36:24",193496,6,"questionnaire-1tsk",NA,41067321,11991402,NA,"complete",NA,"672645ff766a04946a4abc11","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 130.0.0.0","1616x909","1616x741",NA,NA,0,"Consent",12,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF72685"
"1",1730561796314,"02/11/2024 15:36:36",1730561796314,0,"02/11/2024 15:36:36",193496,6,"questionnaire-1tsk",NA,41067327,11991403,NA,"complete",NA,"672645bd37488979ff02a1ec","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1680x1050","1440x694",NA,NA,0,"Consent",12,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF03208"
"1",1730561837694,"02/11/2024 15:37:17",1730561837694,0,"02/11/2024 15:37:17",193496,6,"questionnaire-1tsk",NA,41067343,11991406,NA,"complete",NA,"672645b30128cf1e4af1025a","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","638x632",NA,NA,0,"Consent",12,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF83713"
"1",1730561837954,"02/11/2024 15:37:17",1730561837954,0,"02/11/2024 15:37:17",193496,6,"questionnaire-1tsk",NA,41067345,11991407,NA,"complete",NA,"672647209a551f131bf10235","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,0,"Consent",12,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF76101"
"1",1730561881052,"02/11/2024 15:38:01",1730561881052,0,"02/11/2024 15:38:01",193496,6,"questionnaire-1tsk",NA,41067376,11991410,NA,"complete",NA,"672646a79b57ab5b3001d7a3","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Consent",12,"In","IJHKGAFBECD",NA,"In","HM_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF74630"
"1",1730561881653,"02/11/2024 15:38:01",1730561881653,0,"02/11/2024 15:38:01",193496,6,"questionnaire-1tsk",NA,41067377,11991411,NA,"complete",NA,"672645649a551f131bf101d6","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1504x1003","1504x868",NA,NA,0,"Consent",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF30226"
"1",1730561905093,"02/11/2024 15:38:25",1730561905093,0,"02/11/2024 15:38:25",193496,6,"questionnaire-1tsk",NA,41067396,11991415,NA,"complete",NA,"67264751d2ee59d1e2c3b5f0","computer","Desktop or Laptop","Linux x86_64","Chrome 130.0.0.0","412x915","980x1807",NA,NA,0,"Consent",12,"In","JKIAHBGCFDE",NA,"In","MH_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF77733"
