"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"3",1730561798479,"02/11/2024 15:36:38",1730561797779,0,"02/11/2024 15:36:37",193496,6,"task-9qxs",NA,41067322,11991364,NA,"complete",NA,"6726450ee40698a3653098fd","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 129.0.0.0","1536x864","766x743",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",2078.70000000007,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF94776"
"4",1730561798546,"02/11/2024 15:36:38",1730561797782,0,"02/11/2024 15:36:37",193496,6,"task-9qxs",NA,41067322,11991364,NA,"complete",NA,"6726450ee40698a3653098fd","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 129.0.0.0","1536x864","766x743",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"END TASK",NA,"","","",12457,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF94776"
"1",1730561853929,"02/11/2024 15:37:33",1730561853795,0,"02/11/2024 15:37:33",193496,6,"task-9qxs",NA,41067354,11991362,NA,"complete",NA,"67264518e02f6f9fd49979dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1280x800","1280x679",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq3","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF53839"
"2",1730561863592,"02/11/2024 15:37:43",1730561863480,0,"02/11/2024 15:37:43",193496,6,"task-9qxs",NA,41067354,11991362,NA,"complete",NA,"67264518e02f6f9fd49979dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1280x800","1280x679",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq3","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",9494.89999997616,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF53839"
"3",1730561867380,"02/11/2024 15:37:47",1730561867286,0,"02/11/2024 15:37:47",193496,6,"task-9qxs",NA,41067354,11991362,NA,"complete",NA,"67264518e02f6f9fd49979dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1280x800","1280x679",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq3","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",3795.30000007153,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF53839"
"4",1730561867431,"02/11/2024 15:37:47",1730561867291,0,"02/11/2024 15:37:47",193496,6,"task-9qxs",NA,41067354,11991362,NA,"complete",NA,"67264518e02f6f9fd49979dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1280x800","1280x679",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq3","Spreadsheet1","",NA,"END TASK",NA,"","","",13497,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF53839"
"1",1730561872506,"02/11/2024 15:37:52",1730561868349,0,"02/11/2024 15:37:48",193496,6,"task-9qxs",NA,41067373,11991366,NA,"complete",NA,"67264529d11c23bd27adf08b","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq2","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF94864"
"2",1730561880134,"02/11/2024 15:38:00",1730561876028,0,"02/11/2024 15:37:56",193496,6,"task-9qxs",NA,41067373,11991366,NA,"complete",NA,"67264529d11c23bd27adf08b","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1519x730",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq2","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",7410.5,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF94864"
"3",1730561882400,"02/11/2024 15:38:02",1730561878293,0,"02/11/2024 15:37:58",193496,6,"task-9qxs",NA,41067373,11991366,NA,"complete",NA,"67264529d11c23bd27adf08b","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1519x730",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq2","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",2255.69999999553,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF94864"
"4",1730561882667,"02/11/2024 15:38:02",1730561878296,0,"02/11/2024 15:37:58",193496,6,"task-9qxs",NA,41067373,11991366,NA,"complete",NA,"67264529d11c23bd27adf08b","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1519x730",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq2","Spreadsheet1","",NA,"END TASK",NA,"","","",9947,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF94864"
