"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1707931592753,"14/02/2024 17:26:32",1707931592753,0,"14/02/2024 17:26:32",163173,5,"questionnaire-tzdp",NA,35150673,10387767,NA,"complete",NA,"65ccf7b1377ad148b585a8d2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x595",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In",3,"1","2","MDPRF42960"
"1",1707931626497,"14/02/2024 17:27:06",1707931626497,0,"14/02/2024 17:27:06",163173,5,"questionnaire-tzdp",NA,35150724,10387766,NA,"complete",NA,"65ccf7798a8e9c826f9c5fec","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 14.0.3","1440x900","1440x812",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"In",4,"1","2","MDPRF59606"
"1",1707931641054,"14/02/2024 17:27:21",1707931641054,0,"14/02/2024 17:27:21",163173,5,"questionnaire-tzdp",NA,35150752,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"In",2,"1","2","MDPRF27407"
"1",1707931726318,"14/02/2024 17:28:46",1707931726318,0,"14/02/2024 17:28:46",163173,5,"questionnaire-tzdp",NA,35150864,10387797,NA,"complete",NA,"65ccf83047b5641587110d69","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"In",1,"1","2","MDPRF20908"
"1",1707931732016,"14/02/2024 17:28:52",1707931732016,0,"14/02/2024 17:28:52",163173,5,"questionnaire-tzdp",NA,35150870,10387794,NA,"complete",NA,"65ccf8238ddcf415d9208f97","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",NA,"In",1,"1","2","MDPRF42249"
"1",1707931876789,"14/02/2024 17:31:16",1707967876789,10,"15/02/2024 13:31:16",163173,5,"questionnaire-tzdp",NA,35151060,10387823,NA,"complete",NA,"65ccf8b365e6e71ce098f195","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x607",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"In",4,"1","2","MDPRF98941"
"1",1707931905869,"14/02/2024 17:31:45",1707931905869,0,"14/02/2024 17:31:45",163173,5,"questionnaire-tzdp",NA,35151098,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"In",1,"1","2","MDPRF37738"
"1",1707931949625,"14/02/2024 17:32:29",1707931949625,0,"14/02/2024 17:32:29",163173,5,"questionnaire-tzdp",NA,35151154,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"In",3,"1","2","MDPRF63488"
"1",1707932022382,"14/02/2024 17:33:42",1707932022382,0,"14/02/2024 17:33:42",163173,5,"questionnaire-tzdp",NA,35151239,10387861,NA,"complete",NA,"65ccf8af3164aba72df52bd1","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In",2,"1","2","MDPRF77020"
"1",1707932088954,"14/02/2024 17:34:48",1707932088954,0,"14/02/2024 17:34:48",163173,5,"questionnaire-tzdp",NA,35151327,10387877,NA,"complete",NA,"65ccf95806151f0d36e04283","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x681",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"In",2,"1","2","MDPRF88097"
"1",1707932111737,"14/02/2024 17:35:11",1707932111737,0,"14/02/2024 17:35:11",163173,5,"questionnaire-tzdp",NA,35151356,10387879,NA,"complete",NA,"65ccf9a2b0efb42d06251545","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1318x646",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"In",2,"1","2","MDPRF72992"
"1",1707932251552,"14/02/2024 17:37:31",1707932251552,0,"14/02/2024 17:37:31",163173,5,"questionnaire-tzdp",NA,35151540,10387909,NA,"complete",NA,"65ccf9d72dce2086b996c980","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x607",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"In",3,"1","2","MDPRF02872"
"1",1707932260336,"14/02/2024 17:37:40",1707932260336,0,"14/02/2024 17:37:40",163173,5,"questionnaire-tzdp",NA,35151554,10387907,NA,"complete",NA,"65ccf91d2db74dea4b209019","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"In",4,"1","2","MDPRF82422"
"1",1707932377541,"14/02/2024 17:39:37",1707932377541,0,"14/02/2024 17:39:37",163173,5,"questionnaire-tzdp",NA,35151712,10387940,NA,"complete",NA,"65ccfaa2e62215312acf19fe","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"In",1,"1","2","MDPRF32301"
"1",1707933191961,"14/02/2024 17:53:11",1707933191961,0,"14/02/2024 17:53:11",163173,5,"questionnaire-tzdp",NA,35152429,10388064,NA,"complete",NA,"65ccf8fe9e917c11e93bf0d8","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1366x768","1358x654",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"In",4,"1","2","MDPRF69675"
"1",1707933600636,"14/02/2024 18:00:00",1707933600636,0,"14/02/2024 18:00:00",163173,5,"questionnaire-tzdp",NA,35152847,10388170,NA,"complete",NA,"65ccff7276d1e7e176ecd8cb","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 95.0.4638.54","1440x900","1440x821",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",NA,"In",1,"1","2","MDPRF50626"
"1",1707933765010,"14/02/2024 18:02:45",1707933765010,0,"14/02/2024 18:02:45",163173,5,"questionnaire-tzdp",NA,35153032,10388203,NA,"complete",NA,"65ccff82f200e9541dc03e61","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1280x617",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"In",2,"1","2","MDPRF65249"
"1",1707935178768,"14/02/2024 18:26:18",1707913578768,-6,"14/02/2024 06:26:18",163173,5,"questionnaire-tzdp",NA,35154112,10388441,NA,"complete",NA,"65cd0587377ad148b585ac2e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"In",4,"1","2","MDPRF56429"
"1",1707937207919,"14/02/2024 19:00:07",1707937207919,0,"14/02/2024 19:00:07",163173,5,"questionnaire-tzdp",NA,35155216,10388716,NA,"complete",NA,"65cd0d38500351e8c8f80863","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x632",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"In",1,"1","2","MDPRF66474"
"1",1707938046142,"14/02/2024 19:14:06",1707938046142,0,"14/02/2024 19:14:06",163173,5,"questionnaire-tzdp",NA,35155685,10388818,NA,"complete",NA,"65cd107fe75dfbcced622892","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1536x864","1528x742",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In",3,"1","2","MDPRF26473"
