"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Slider_LH.object.2.Value","Random_ID"
"1",1707931970896,"14/02/2024 17:32:50",1707931970896,0,"14/02/2024 17:32:50",163173,5,"questionnaire-txxf",NA,35151179,10387761,NA,"complete",NA,"65ccf78ccc80b4427ad4af6b","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x791",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"In",3,"39","MDPRF84633"
"1",1707932092642,"14/02/2024 17:34:52",1707932092642,0,"14/02/2024 17:34:52",163173,5,"questionnaire-txxf",NA,35151332,10387766,NA,"complete",NA,"65ccf7798a8e9c826f9c5fec","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 14.0.3","1440x900","1440x812",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In",4,"28","MDPRF59606"
"1",1707932124938,"14/02/2024 17:35:24",1707932124938,0,"14/02/2024 17:35:24",163173,5,"questionnaire-txxf",NA,35151374,10387834,NA,"complete",NA,"65ccf8daaa631da9ca8f473b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","2560x1440","2560x1243",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"In",1,"-13","MDPRF37738"
"1",1707932132421,"14/02/2024 17:35:32",1707968132421,10,"15/02/2024 13:35:32",163173,5,"questionnaire-txxf",NA,35151383,10387823,NA,"complete",NA,"65ccf8b365e6e71ce098f195","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x607",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In",4,"-66","MDPRF98941"
"1",1707932137294,"14/02/2024 17:35:37",1707903337294,-8,"14/02/2024 01:35:37",163173,5,"questionnaire-txxf",NA,35151384,10387764,NA,"complete",NA,"65ccf797edaff64f4e89c51b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1728x1117","1676x866",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",4,"46","MDPRF06732"
"1",1707932491644,"14/02/2024 17:41:31",1707932491644,0,"14/02/2024 17:41:31",163173,5,"questionnaire-txxf",NA,35151816,10387767,NA,"complete",NA,"65ccf7b1377ad148b585a8d2","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x595",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In",3,"60","MDPRF42960"
"1",1707932554016,"14/02/2024 17:42:34",1707932554016,0,"14/02/2024 17:42:34",163173,5,"questionnaire-txxf",NA,35151876,10387861,NA,"complete",NA,"65ccf8af3164aba72df52bd1","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 114.0.0.0","1536x864","1536x714",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In",2,"-33","MDPRF77020"
"1",1707932606457,"14/02/2024 17:43:26",1707932606457,0,"14/02/2024 17:43:26",163173,5,"questionnaire-txxf",NA,35151935,10387940,NA,"complete",NA,"65ccfaa2e62215312acf19fe","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",1,"41","MDPRF32301"
"1",1707932741740,"14/02/2024 17:45:41",1707932741740,0,"14/02/2024 17:45:41",163173,5,"questionnaire-txxf",NA,35152055,10387909,NA,"complete",NA,"65ccf9d72dce2086b996c980","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x607",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In",3,"-22","MDPRF02872"
"1",1707932775252,"14/02/2024 17:46:15",1707932775252,0,"14/02/2024 17:46:15",163173,5,"questionnaire-txxf",NA,35152084,10387841,NA,"complete",NA,"65ccf7aa016df0e332dff1bc","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In",3,"-24","MDPRF63488"
"1",1707932816563,"14/02/2024 17:46:56",1707932816563,0,"14/02/2024 17:46:56",163173,5,"questionnaire-txxf",NA,35152118,10387907,NA,"complete",NA,"65ccf91d2db74dea4b209019","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In",4,"73","MDPRF82422"
