"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1707993150366,"15/02/2024 10:32:30",1707993150366,0,"15/02/2024 10:32:30",163173,5,"questionnaire-79c5",NA,35168741,10392491,NA,"complete",NA,"65cde5eefc86493370b95670","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1512x982","1505x760",NA,NA,0,"ARI",2,"In","ABLCKDJEIFHG",NA,"In",4,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF08258"
"1",1707993778218,"15/02/2024 10:42:58",1707993778218,0,"15/02/2024 10:42:58",163173,5,"questionnaire-79c5",NA,35169146,10392493,NA,"complete",NA,"65cde76d9cc5c7584633b321","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1242x583",NA,NA,0,"ARI",2,"In","BCADLEKFJGIH",NA,"In",2,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF93128"
"1",1707993765905,"15/02/2024 10:42:45",1707993765905,0,"15/02/2024 10:42:45",163173,5,"questionnaire-79c5",NA,35169352,10392498,NA,"complete",NA,"65cde7985b1fd768213c8595","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x800","1280x631",NA,NA,0,"ARI",2,"In","CDBEAFLGKHJI",NA,"In",1,"Certainly true","3","Somewhat true","2","Certainly true","3","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF02681"
"1",1707993924755,"15/02/2024 10:45:24",1707993924755,0,"15/02/2024 10:45:24",163173,5,"questionnaire-79c5",NA,35169525,10392543,NA,"complete",NA,"65cde8742fa2e48a0280d323","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x559",NA,NA,0,"ARI",2,"In","FGEHDICJBKAL",NA,"In",3,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF73193"
"1",1707994015376,"15/02/2024 10:46:55",1707994015376,0,"15/02/2024 10:46:55",163173,5,"questionnaire-79c5",NA,35169628,10392516,NA,"complete",NA,"65cde7f8473756790c8c3d78","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x945",NA,NA,0,"ARI",2,"In","DECFBGAHLIKJ",NA,"In",3,"Certainly true","3","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF51662"
"1",1707994137377,"15/02/2024 10:48:57",1707994137377,0,"15/02/2024 10:48:57",163173,5,"questionnaire-79c5",NA,35169758,10392529,NA,"complete",NA,"65cde82cfdfa0c8346fad166","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x919",NA,NA,0,"ARI",2,"In","EFDGCHBIAJLK",NA,"In",4,"Certainly true","3","Certainly true","3","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","MDPRF26790"
"1",1707994361719,"15/02/2024 10:52:41",1707994361719,0,"15/02/2024 10:52:41",163173,5,"questionnaire-79c5",NA,35170019,10392742,NA,"complete",NA,"65cdec25877c9e6251459e92","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x779",NA,NA,0,"ARI",2,"In","HIGJFKELDACB",NA,"In",2,"Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","MDPRF04034"
"1",1707994910152,"15/02/2024 11:01:50",1707994910152,0,"15/02/2024 11:01:50",163173,5,"questionnaire-79c5",NA,35170542,10392587,NA,"complete",NA,"65cde7dc29ab753728b8bae6","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","2560x1118",NA,NA,0,"ARI",2,"In","GHFIEJDKCLBA",NA,"In",4,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF95465"
"1",1707995086472,"15/02/2024 11:04:46",1707995086472,0,"15/02/2024 11:04:46",163173,5,"questionnaire-79c5",NA,35170714,10392847,NA,"complete",NA,"65cdece3a14b6659bed16be0","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1536x864","1488x750",NA,NA,0,"ARI",2,"In","IJHKGLFAEBDC",NA,"In",1,"Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","MDPRF56785"
"1",1708001818305,"15/02/2024 12:56:58",1707980218305,-6,"15/02/2024 00:56:58",163173,5,"questionnaire-79c5",NA,35178051,10394116,NA,"complete",NA,"65ce075ffdfc4d52aa620d1f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1460x658",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"In",2,"Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF20625"
"1",1708075941108,"16/02/2024 09:32:21",1708075941108,0,"16/02/2024 09:32:21",163173,5,"questionnaire-79c5",NA,35213781,10404012,NA,"complete",NA,"65cf2b6a031026918a66a2ba","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x919",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"In",1,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF16300"
