"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"53","APPROVED","Not Applicable","2024-02-14T17:21:02.942000Z","2024-02-14T17:59:15.253000Z","2024-02-15T10:17:18.419000Z","2024-02-14T17:59:15.755230Z",2293,"C1FKYHSS",619,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF62264"
"54","APPROVED","Not Applicable","2024-02-14T17:21:11.894000Z","2024-02-14T18:01:45.934000Z","2024-02-15T10:22:02.237000Z","2024-02-14T18:01:46.469805Z",2435,"C1FKYHSS",222,"English","24","Female","White","United States","United Kingdom","United States","English","Yes","Unemployed (and job seeking)","MDPRF94910"
"55","APPROVED","Not Applicable","2024-02-14T17:24:06.602000Z","2024-02-14T17:59:13.534000Z","2024-02-15T10:17:18.628000Z","2024-02-14T17:59:14.010275Z",2107,"C1FKYHSS",148,"English, Cantonese, Mandarin","23","Female","Asian","Hong Kong","United Kingdom","Hong Kong","Cantonese","Yes","Unemployed (and job seeking)","MDPRF15001"
"56","APPROVED","Not Applicable","2024-02-14T17:25:02.790000Z","2024-02-14T18:00:26.411000Z","2024-02-15T10:08:19.232000Z","2024-02-14T18:00:26.915051Z",2124,"C1FKYHSS",1399,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF88210"
"57","APPROVED","Not Applicable","2024-02-14T17:25:56.864000Z","2024-02-14T18:11:50.461000Z","2024-02-15T10:17:18.844000Z","2024-02-14T18:11:50.980398Z",2754,"C1FKYHSS",54,"English","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","MDPRF59606"
"58","APPROVED","Not Applicable","2024-02-14T17:25:36.377000Z","2024-02-14T18:01:21.015000Z","2024-02-15T10:10:52.104000Z","2024-02-14T18:01:21.473093Z",2145,"C1FKYHSS",389,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","MDPRF84633"
"59","APPROVED","Not Applicable","2024-02-14T17:26:35.536000Z","2024-02-14T18:16:03.148000Z","2024-02-15T10:22:02.434000Z","2024-02-14T18:16:03.946606Z",2968,"C1FKYHSS",1142,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","MDPRF63488"
"60","APPROVED","Not Applicable","2024-02-14T17:26:09.020000Z","2024-02-14T18:03:50.359000Z","2024-02-15T10:10:52.309000Z","2024-02-14T18:03:50.964708Z",2262,"C1FKYHSS",610,"English, French","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","MDPRF42960"
"61","APPROVED","Not Applicable","2024-02-14T17:26:56.569000Z","2024-02-14T18:00:24.845000Z","2024-02-15T10:22:02.626000Z","2024-02-14T18:00:25.441023Z",2009,"C1FKYHSS",332,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF27407"
"62","APPROVED","Not Applicable","2024-02-14T17:31:21.259000Z","2024-02-14T18:04:43.290000Z","2024-02-15T10:17:19.056000Z","2024-02-14T18:04:43.878909Z",2003,"C1FKYHSS",1072,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","MDPRF77020"
"63","APPROVED","Not Applicable","2024-02-14T17:33:18.065000Z","2024-02-14T18:26:22.453000Z","2024-02-15T10:22:02.835000Z","2024-02-14T18:26:23.018548Z",3185,"C1FKYHSS",725,"Italian, French, English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF88097"
"64","APPROVED","Not Applicable","2024-02-14T17:34:33.126000Z","2024-02-14T18:40:24.899000Z","2024-02-15T10:19:48.480000Z","2024-02-14T18:40:25.436793Z",3952,"C1FKYHSS",398,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","MDPRF72992"
