"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"3",1695748480140,"26/09/2023 17:14:40",1695734080140,-4,"26/09/2023 09:14:40",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",53325.742,63683.87,63689.9229996185,53325.742,63683.87,63689.9229996185,1,53325.742,10364.1809996185,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT37840"
"4",1695748480141,"26/09/2023 17:14:40",1695734080141,-4,"26/09/2023 09:14:40",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",54436.972,63683.87,63690.4229996185,54436.972,63683.87,63690.4229996185,1,54436.972,9253.45099961853,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT37840"
"5",1695748480141,"26/09/2023 17:14:40",1695734080141,-4,"26/09/2023 09:14:40",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",56876.094,63683.87,63691.023,56876.094,63683.87,63691.023,1,56876.094,6814.929,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT37840"
"6",1695748488575,"26/09/2023 17:14:48",1695734088575,-4,"26/09/2023 09:14:48",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",8440.65300000001,8426.747,8440.65300000001,8440.65300000001,8426.747,8440.65300000001,1,8440.65300000001,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT37840"
"7",1695748488575,"26/09/2023 17:14:48",1695734088575,-4,"26/09/2023 09:14:48",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",2762.649,8426.747,8441.15300000001,2762.649,8426.747,8441.15300000001,1,2762.649,5678.504,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT37840"
"8",1695748488576,"26/09/2023 17:14:48",1695734088576,-4,"26/09/2023 09:14:48",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",3728.56300000001,8426.747,8441.65300000001,3728.56300000001,8426.747,8441.65300000001,1,3728.56300000001,4713.09,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT37840"
"9",1695748488576,"26/09/2023 17:14:48",1695734088576,-4,"26/09/2023 09:14:48",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","5",5153.55100000001,8426.747,8442.05299961854,5153.55100000001,8426.747,8442.05299961854,1,5153.55100000001,3288.50199961853,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT37840"
"10",1695748495504,"26/09/2023 17:14:55",1695734095504,-4,"26/09/2023 09:14:55",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",6943.2059997139,6934.293,6943.2059997139,6943.2059997139,6934.293,6943.2059997139,1,6943.2059997139,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT37840"
"11",1695748495507,"26/09/2023 17:14:55",1695734095507,-4,"26/09/2023 09:14:55",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",3604.58,6934.293,6946.50599990464,3604.58,6934.293,6946.50599990464,1,3604.58,3341.92599990463,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPAMT37840"
"12",1695748495508,"26/09/2023 17:14:55",1695734095508,-4,"26/09/2023 09:14:55",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","4",5015.526,6934.293,6947.00599990464,5015.526,6934.293,6947.00599990464,1,5015.526,1931.47999990464,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPAMT37840"
"13",1695748495508,"26/09/2023 17:14:55",1695734095508,-4,"26/09/2023 09:14:55",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",5776.2,6934.293,6947.406,5776.2,6934.293,6947.406,1,5776.2,1171.20600000001,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPAMT37840"
"14",1695748495510,"26/09/2023 17:14:55",1695734095510,-4,"26/09/2023 09:14:55",144339,3,"questionnaire-uu2n",NA,31878280,9425062,NA,"complete","advdkj","3WQ3B2KGEEFFAJIBCWX3OL79PEY1BW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJK",NA,"LH","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT37840"
"1",1695748468629,"26/09/2023 17:14:28",1695734068629,-4,"26/09/2023 09:14:28",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT80130"
"2",1695748507915,"26/09/2023 17:15:07",1695734107915,-4,"26/09/2023 09:15:07",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",43467.25,43436,43467.25,43467.25,43436,43467.25,1,43467.25,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT80130"
"3",1695748507917,"26/09/2023 17:15:07",1695734107917,-4,"26/09/2023 09:15:07",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",21404.75,43436,43467.25,21404.75,43436,43467.25,1,21404.75,22062.5,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT80130"
"4",1695748507918,"26/09/2023 17:15:07",1695734107918,-4,"26/09/2023 09:15:07",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","8",36061,43436,43467.25,36061,43436,43467.25,1,36061,7406.25,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT80130"
"5",1695748507919,"26/09/2023 17:15:07",1695734107919,-4,"26/09/2023 09:15:07",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",41904.75,43436,43467.25,41904.75,43436,43467.25,1,41904.75,1562.5,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT80130"
"6",1695748540709,"26/09/2023 17:15:40",1695734140709,-4,"26/09/2023 09:15:40",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",32834,32812.5,32834,32834,32812.5,32834,1,32834,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT80130"
"7",1695748540713,"26/09/2023 17:15:40",1695734140713,-4,"26/09/2023 09:15:40",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",5968.75,32812.5,32838,5968.75,32812.5,32838,1,5968.75,26869.25,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT80130"
"8",1695748540713,"26/09/2023 17:15:40",1695734140713,-4,"26/09/2023 09:15:40",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","4",11281.25,32812.5,32838,11281.25,32812.5,32838,1,11281.25,21556.75,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT80130"
"9",1695748540715,"26/09/2023 17:15:40",1695734140715,-4,"26/09/2023 09:15:40",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",28937.5,32812.5,32840,28937.5,32812.5,32840,1,28937.5,3902.5,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT80130"
"10",1695748559710,"26/09/2023 17:15:59",1695734159710,-4,"26/09/2023 09:15:59",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",19022.5,19000,19022.5,19022.5,19000,19022.5,1,19022.5,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT80130"
"11",1695748559714,"26/09/2023 17:15:59",1695734159714,-4,"26/09/2023 09:15:59",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","7",10250,19000,19026.5,10250,19000,19026.5,1,10250,8776.5,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPAMT80130"
"12",1695748559716,"26/09/2023 17:15:59",1695734159716,-4,"26/09/2023 09:15:59",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","6",13812.5,19000,19027.5,13812.5,19000,19027.5,1,13812.5,5215,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPAMT80130"
"13",1695748559716,"26/09/2023 17:15:59",1695734159716,-4,"26/09/2023 09:15:59",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","6",16937.5,19000,19028.5,16937.5,19000,19028.5,1,16937.5,2091,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPAMT80130"
"14",1695748559720,"26/09/2023 17:15:59",1695734159720,-4,"26/09/2023 09:15:59",144339,3,"questionnaire-uu2n",NA,31878313,9425080,NA,"complete","hoakte","3NAPMVF0Z2EZXSXHIJL1O2VIYUL72X","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"BIQ (Charlotte)",2,"In","FGEHDICJBKA",NA,"HL","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT80130"
"1",1695750168855,"26/09/2023 17:42:48",1695735768855,-4,"26/09/2023 09:42:48",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT21877"
"2",1695750176446,"26/09/2023 17:42:56",1695735776446,-4,"26/09/2023 09:42:56",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",7597.85300009537,7594.148,7597.85300009537,7597.85300009537,7594.148,7597.85300009537,1,7597.85300009537,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT21877"
"3",1695750176448,"26/09/2023 17:42:56",1695735776448,-4,"26/09/2023 09:42:56",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",2720.527,7594.148,7604.953,2720.527,7594.148,7604.953,1,2720.527,4884.426,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT21877"
"4",1695750176448,"26/09/2023 17:42:56",1695735776448,-4,"26/09/2023 09:42:56",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","0",4162.332,7594.148,7605.65300004768,4162.332,7594.148,7605.65300004768,1,4162.332,3443.32100004768,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT21877"
"5",1695750176449,"26/09/2023 17:42:56",1695735776449,-4,"26/09/2023 09:42:56",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",5099.612,7594.148,7606.15300004768,5099.612,7594.148,7606.15300004768,1,5099.612,2506.54100004768,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT21877"
"6",1695750183290,"26/09/2023 17:43:03",1695735783290,-4,"26/09/2023 09:43:03",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",6852.515,6835.849,6852.515,6852.515,6835.849,6852.515,1,6852.515,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT21877"
"7",1695750183293,"26/09/2023 17:43:03",1695735783293,-4,"26/09/2023 09:43:03",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",2208.775,6835.849,6852.515,2208.775,6835.849,6852.515,1,2208.775,4643.74,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT21877"
"8",1695750183293,"26/09/2023 17:43:03",1695735783293,-4,"26/09/2023 09:43:03",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",4342.54,6835.849,6852.515,4342.54,6835.849,6852.515,1,4342.54,2509.975,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT21877"
"9",1695750183294,"26/09/2023 17:43:03",1695735783294,-4,"26/09/2023 09:43:03",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",5600.62,6835.849,6852.515,5600.62,6835.849,6852.515,1,5600.62,1251.895,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT21877"
"10",1695750188889,"26/09/2023 17:43:08",1695735788889,-4,"26/09/2023 09:43:08",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",5616.75599995231,5601.033,5616.75599995231,5616.75599995231,5601.033,5616.75599995231,1,5616.75599995231,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT21877"
"11",1695750188890,"26/09/2023 17:43:08",1695735788890,-4,"26/09/2023 09:43:08",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",1790.645,5601.033,5617.35600009537,1790.645,5601.033,5617.35600009537,1,1790.645,3826.71100009537,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPAMT21877"
"12",1695750188890,"26/09/2023 17:43:08",1695735788890,-4,"26/09/2023 09:43:08",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",2924.731,5601.033,5617.699,2924.731,5601.033,5617.699,1,2924.731,2692.968,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPAMT21877"
"13",1695750188890,"26/09/2023 17:43:08",1695735788890,-4,"26/09/2023 09:43:08",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",3876.323,5601.033,5617.699,3876.323,5601.033,5617.699,1,3876.323,1741.376,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPAMT21877"
"14",1695750188892,"26/09/2023 17:43:08",1695735788892,-4,"26/09/2023 09:43:08",144339,3,"questionnaire-uu2n",NA,31879097,9425325,NA,"complete","kjvwvf","3XM0HYN6NQYGYEDX7PAJQPVSVROEPK","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","GHFIEJDKCAB",NA,"HL","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT21877"
"1",1695752463089,"26/09/2023 18:21:03",1695738063089,-4,"26/09/2023 10:21:03",144339,3,"questionnaire-uu2n",NA,31879884,9425531,NA,"complete","jtiljg","39PAAFCODSZVSHSQJW8DV3KBKQYVT0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"BIQ (Charlotte)",2,"In","HIGJFKEADBC",NA,"LH","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT61541"
