"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695783528391,"27/09/2023 02:58:48",1695769128391,-4,"26/09/2023 18:58:48",144339,3,"questionnaire-qxhw",NA,31884899,9427638,NA,"complete","vieioq","3TXWC2NHN5PWGA28RVYRTGZSRGWS9P","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"LH","0-2","3","SUPAMT06775"
"1",1695783971605,"27/09/2023 03:06:11",1695769571605,-4,"26/09/2023 19:06:11",144339,3,"questionnaire-qxhw",NA,31885043,9427654,NA,"complete","vckiee","3NVC2EB65WY7XUP19SP6KPK789S3Y7","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"HL","0-2","3","SUPAMT81404"
"1",1695786153037,"27/09/2023 03:42:33",1695771753037,-4,"26/09/2023 19:42:33",144339,3,"questionnaire-qxhw",NA,31885669,9427823,NA,"complete","lxyocl","3R6BYFZZPDBDD1FKOR462K2V9TAFXT","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"HL","1-0","1","SUPAMT72701"
"1",1695779091461,"27/09/2023 01:44:51",1695764691461,-4,"26/09/2023 17:44:51",144339,3,"questionnaire-qxhw",NA,31889455,9429722,NA,"complete","juwuye","3KRVW3HTZTKBNUL2G42WY25CRGFSM2","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"LH","1-0","1","SUPAMT82113"
"1",1695798167680,"27/09/2023 07:02:47",1695783767680,-4,"26/09/2023 23:02:47",144339,3,"questionnaire-qxhw",NA,31892049,9430432,NA,"complete","tjahde","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1360x768","1360x619",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"HL","1-0","1","SUPAMT75168"
"1",1695798667857,"27/09/2023 07:11:07",1695784267857,-4,"26/09/2023 23:11:07",144339,3,"questionnaire-qxhw",NA,31892161,9430472,NA,"complete","kcbybd","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"LH","1-0","1","SUPAMT07437"
"1",1695802165648,"27/09/2023 08:09:25",1695787765648,-4,"27/09/2023 00:09:25",144339,3,"questionnaire-qxhw",NA,31892522,9430626,NA,"complete","eaqxde","","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1360x768","1700x773",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"HL","1-0","1","SUPAMT73370"
"1",1695842518723,"27/09/2023 19:21:58",1695828118723,-4,"27/09/2023 11:21:58",144339,3,"questionnaire-qxhw",NA,31899836,9432639,NA,"complete","kkywyd","3BXQMRHWK5XR27D659XWD3N0DGVMUE","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"LH","0-2","3","SUPAMT05723"
"1",1695828122089,"27/09/2023 15:22:02",1695813722089,-4,"27/09/2023 07:22:02",144339,3,"questionnaire-qxhw",NA,31899839,9432626,NA,"complete","xoiadw","3OSWBBLG1KWGFH1OXL9GEKZAYKKXDZ","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"LH","1-0","1","SUPAMT16300"
"1",1695828590675,"27/09/2023 15:29:50",1695814190675,-4,"27/09/2023 07:29:50",144339,3,"questionnaire-qxhw",NA,31900126,9432759,NA,"complete","fynptb","3MMN5BL1W5373D0NQP1VQUX003BM36","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x907",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"HL","1-0","1","SUPAMT30004"
"1",1695829970341,"27/09/2023 15:52:50",1695815570341,-4,"27/09/2023 07:52:50",144339,3,"questionnaire-qxhw",NA,31900738,9432868,NA,"complete","rsapkw","3H0W84IWBQ11ARTCKHE8VKV7XF0REQ","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"LH","0-2","3","SUPAMT08836"
"1",1695852561837,"27/09/2023 22:09:21",1695838161837,-4,"27/09/2023 14:09:21",144339,3,"questionnaire-qxhw",NA,31901194,9433036,NA,"complete","zovvir","36WLNQG7859EUKCNOKSIV5Q3FTYEB1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"HL","0-2","3","SUPAMT16874"
