"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1718884603475,"20/06/2024 11:56:43",1718888203475,1,"20/06/2024 13:56:43",178265,9,"questionnaire-tzdp",NA,38392996,11284850,NA,"complete",NA,"667418aba71d121242c52a52","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1366x768","1366x607",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","1","2","MDPRF66245"
"1",1718884614399,"20/06/2024 11:56:54",1718888214399,1,"20/06/2024 13:56:54",178265,9,"questionnaire-tzdp",NA,38393002,11284851,NA,"complete",NA,"667418e6b4b337c0902e10a8","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","2560x1279",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"In","1","2","MDPRF44269"
"1",1718884674809,"20/06/2024 11:57:54",1718888274809,1,"20/06/2024 13:57:54",178265,9,"questionnaire-tzdp",NA,38393029,11284853,NA,"complete",NA,"66741561dad13cd44a61f97d","computer","Desktop or Laptop","Windows 10","Chrome 122.0.0.0","1463x823","1463x654",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","1","2","MDPRF70702"
"1",1718884754355,"20/06/2024 11:59:14",1718888354355,1,"20/06/2024 13:59:14",178265,9,"questionnaire-tzdp",NA,38393073,11284864,NA,"complete",NA,"66741969cdfeb6002491ab93","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x911",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","1","2","MDPRF01328"
"1",1718884811579,"20/06/2024 12:00:11",1718888411579,1,"20/06/2024 14:00:11",178265,9,"questionnaire-tzdp",NA,38393110,11284871,NA,"complete",NA,"667419689477551181cbdcd9","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1552x970","1552x848",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"In","1","2","MDPRF13522"
"1",1718884832591,"20/06/2024 12:00:32",1718888432591,1,"20/06/2024 14:00:32",178265,9,"questionnaire-tzdp",NA,38393123,11284875,NA,"complete",NA,"667419b86853a5d3ea662fb6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1440x900","1440x703",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","1","2","MDPRF73133"
"1",1718885016788,"20/06/2024 12:03:36",1718888616788,1,"20/06/2024 14:03:36",178265,9,"questionnaire-tzdp",NA,38393245,11284903,NA,"complete",NA,"667419f23ae34288567110bc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1470x956","1470x833",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"In","1","2","MDPRF09311"
"1",1718885056717,"20/06/2024 12:04:16",1718888656717,1,"20/06/2024 14:04:16",178265,9,"questionnaire-tzdp",NA,38393269,11284904,NA,"complete",NA,"66741a82d376d07b0f7316e7","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","2560x1279",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","1","2","MDPRF61412"
"1",1718885467412,"20/06/2024 12:11:07",1718889067412,1,"20/06/2024 14:11:07",178265,9,"questionnaire-tzdp",NA,38393572,11284955,NA,"complete",NA,"66741ba56db16cb3c00264e0","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x945",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","1","2","MDPRF98743"
"1",1718885653564,"20/06/2024 12:14:13",1718889253564,1,"20/06/2024 14:14:13",178265,9,"questionnaire-tzdp",NA,38393679,11284975,NA,"complete",NA,"66741ccaa937e5fc87703603","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","960x945",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"In","1","2","MDPRF18538"
"1",1718885792401,"20/06/2024 12:16:32",1718889392401,1,"20/06/2024 14:16:32",178265,9,"questionnaire-tzdp",NA,38393740,11284991,NA,"complete",NA,"66741bf25420df405f010fb6","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1920x1080","1920x953",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","1","2","MDPRF20810"
"1",1718885800595,"20/06/2024 12:16:40",1718889400595,1,"20/06/2024 14:16:40",178265,9,"questionnaire-tzdp",NA,38393746,11284994,NA,"complete",NA,"66741ca1d5b0121b5a819963","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1080x1920","1080x1799",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","1","2","MDPRF81485"
"1",1718887204837,"20/06/2024 12:40:04",1718890804837,1,"20/06/2024 14:40:04",178265,9,"questionnaire-tzdp",NA,38394633,11285240,NA,"complete",NA,"667422f2bef477d910655498","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 125.0.0.0","1396x785","1397x616",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","1","2","MDPRF24504"
"1",1718888623533,"20/06/2024 13:03:43",1718892223533,1,"20/06/2024 15:03:43",178265,9,"questionnaire-tzdp",NA,38395437,11285472,NA,"complete",NA,"667427edab2b66350d5601d2","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","890x586",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","1","2","MDPRF02217"
"1",1718889259586,"20/06/2024 13:14:19",1718874859586,-4,"20/06/2024 05:14:19",178265,9,"questionnaire-tzdp",NA,38395756,11285566,NA,"complete",NA,"66741affc3b799be351043ba","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1280x720","638x632",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"In","1","2","MDPRF31972"
"1",1718890427070,"20/06/2024 13:33:47",1718894027070,1,"20/06/2024 15:33:47",178265,9,"questionnaire-tzdp",NA,38396377,11285719,NA,"complete",NA,"66741bff01568cce646e784f","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","1","2","MDPRF94218"
