"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1694461693722,"11/09/2023 19:48:13",1694447293722,-4,"11/09/2023 11:48:13",142342,3,"questionnaire-qxhw",NA,31631998,9349015,NA,"complete","ipxphk","3QHK8ZVMISHS0QMF56FM80GNLBCLBB","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1517x687",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT98578"
"1",1694463484900,"11/09/2023 20:18:04",1694449084900,-4,"11/09/2023 12:18:04",142342,3,"questionnaire-qxhw",NA,31632375,9349095,NA,"complete","obuidv","3KYQYYSHY16TL8NWWUMKV78HLQ9ODY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"1-0","1","SUPAMT40116"
"1",1694464545473,"11/09/2023 20:35:45",1694450145473,-4,"11/09/2023 12:35:45",142342,3,"questionnaire-qxhw",NA,31632679,9349121,NA,"complete","ooxafi","3QJOXOW4XPQADBGKF9IR9L1XQ4HME0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"1-0","1","SUPAMT68498"
"1",1694486403718,"12/09/2023 02:40:03",1694472003718,-4,"11/09/2023 18:40:03",142342,3,"questionnaire-qxhw",NA,31632745,9349130,NA,"complete","libawr","3NQL1CS15X7R93RKT2VC3KCQZ8XYV5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"1-0","1","SUPAMT90577"
"1",1694465115821,"11/09/2023 20:45:15",1694450715821,-4,"11/09/2023 12:45:15",142342,3,"questionnaire-qxhw",NA,31632855,9349155,NA,"complete","yifcyo","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"1-0","1","SUPAMT90577"
"1",1694487552313,"12/09/2023 02:59:12",1694473152313,-4,"11/09/2023 18:59:12",142342,3,"questionnaire-qxhw",NA,31633059,9349279,NA,"complete","xxaglc","3VHHR074H9G5YEJPSP363YUR4AD7LJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"1-0","1","SUPAMT69504"
"1",1694487580953,"12/09/2023 02:59:40",1694473180953,-4,"11/09/2023 18:59:40",142342,3,"questionnaire-qxhw",NA,31633069,9349060,NA,"complete","acwbwe","3L4PIM1GQZFZGWA3KIQ22NNNE3MYRG","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1024x768","1024x619",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"1-0","1","SUPAMT53264"
"1",1694466114501,"11/09/2023 21:01:54",1694451714501,-4,"11/09/2023 13:01:54",142342,3,"questionnaire-qxhw",NA,31633114,9349167,NA,"complete","metjpq","3M0NZ3JDP7XAGZMAJXFIDTRTSD9Z5Y","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"1-0","1","SUPAMT09587"
"1",1694466540924,"11/09/2023 21:09:00",1694452140924,-4,"11/09/2023 13:09:00",142342,3,"questionnaire-qxhw",NA,31633205,9349209,NA,"complete","alidzh","3QL2OFSM9CH1YVH6VJRWWCQUAH6CNN","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"0","4","SUPAMT31886"
"1",1694466569857,"11/09/2023 21:09:29",1694452169857,-4,"11/09/2023 13:09:29",142342,3,"questionnaire-qxhw",NA,31633207,9349180,NA,"complete","rjdohd","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"1-0","1","SUPAMT69504"
"1",1694488875289,"12/09/2023 03:21:15",1694474475289,-4,"11/09/2023 19:21:15",142342,3,"questionnaire-qxhw",NA,31633382,9349322,NA,"complete","mccbgw","3OCHAWUVGUJOTN7YP2V3IXU0H5XXKF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"1-0","1","SUPAMT40907"
"1",1694468450713,"11/09/2023 21:40:50",1694454050713,-4,"11/09/2023 13:40:50",142342,3,"questionnaire-qxhw",NA,31633643,9349396,NA,"complete","vtrxie","3WS1NTTKE4B5GB99LFFZT6FKXCHF04","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"1-0","1","SUPAMT37895"
"1",1694469213635,"11/09/2023 21:53:33",1694454813635,-4,"11/09/2023 13:53:33",142342,3,"questionnaire-qxhw",NA,31633833,9349473,NA,"complete","cewygc","3PXX5PX6L3XB47VB8FQWZM0CTOLBA7","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"1-0","1","SUPAMT98418"
"1",1695070001414,"18/09/2023 20:46:41",1695052001414,-5,"18/09/2023 10:46:41",142342,3,"questionnaire-qxhw",NA,31722014,9376599,NA,"complete","mskdfg","3H7Z272LXD6U4KNPOBXN3KLC44IPL7","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x747",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"1-0","1","SUPAMT11088"
"1",1695066584926,"18/09/2023 19:49:44",1695052184926,-4,"18/09/2023 11:49:44",142342,3,"questionnaire-qxhw",NA,31722069,9376603,NA,"complete","ajzzwm","3TUI152ZZHM2EPK0VEUTJA28A9PQ1C","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"1-0","1","SUPAMT11650"
"1",1695088799327,"19/09/2023 01:59:59",1695074399327,-4,"18/09/2023 17:59:59",142342,3,"questionnaire-qxhw",NA,31722280,9376625,NA,"complete","mysxmv","3QY7M81QHDLUE8177PR5OYHCEPY7KZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"1-0","1","SUPAMT93290"
"1",1695067311632,"18/09/2023 20:01:51",1695052911632,-4,"18/09/2023 12:01:51",142342,3,"questionnaire-qxhw",NA,31722325,9376604,NA,"complete","davaox","3I2PTA7R3ZT4KQ6M3O0BOPY7K2AQKB","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"1-0","1","SUPAMT38095"
