"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1694485026405,"12/09/2023 02:17:06",1694470626405,-4,"11/09/2023 18:17:06",142342,3,"questionnaire-tzdp",NA,31632357,9349130,NA,"complete","libawr","3NQL1CS15X7R93RKT2VC3KCQZ8XYV5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"1","2","SUPAMT90577"
"1",1694463757587,"11/09/2023 20:22:37",1694449357587,-4,"11/09/2023 12:22:37",142342,3,"questionnaire-tzdp",NA,31632460,9349155,NA,"complete","yifcyo","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"1","2","SUPAMT70104"
"1",1694463851811,"11/09/2023 20:24:11",1694449451811,-4,"11/09/2023 12:24:11",142342,3,"questionnaire-tzdp",NA,31632499,9349167,NA,"complete","metjpq","3M0NZ3JDP7XAGZMAJXFIDTRTSD9Z5Y","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"1","2","SUPAMT09587"
"1",1694464472627,"11/09/2023 20:34:32",1694450072627,-4,"11/09/2023 12:34:32",142342,3,"questionnaire-tzdp",NA,31632653,9349209,NA,"complete","alidzh","3QL2OFSM9CH1YVH6VJRWWCQUAH6CNN","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"1","2","SUPAMT31886"
"1",1694487095650,"12/09/2023 02:51:35",1694472695650,-4,"11/09/2023 18:51:35",142342,3,"questionnaire-tzdp",NA,31632947,9349279,NA,"complete","xxaglc","3VHHR074H9G5YEJPSP363YUR4AD7LJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"1","2","SUPAMT69504"
"1",1694465595546,"11/09/2023 20:53:15",1694451195546,-4,"11/09/2023 12:53:15",142342,3,"questionnaire-tzdp",NA,31632971,9349180,NA,"complete","rjdohd","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"1","2","SUPAMT69504"
"1",1694487964699,"12/09/2023 03:06:04",1694473564699,-4,"11/09/2023 19:06:04",142342,3,"questionnaire-tzdp",NA,31633162,9349322,NA,"complete","mccbgw","3OCHAWUVGUJOTN7YP2V3IXU0H5XXKF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT40907"
"1",1694467327258,"11/09/2023 21:22:07",1694452927258,-4,"11/09/2023 13:22:07",142342,3,"questionnaire-tzdp",NA,31633410,9349396,NA,"complete","vtrxie","3WS1NTTKE4B5GB99LFFZT6FKXCHF04","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT37895"
"1",1694468874662,"11/09/2023 21:47:54",1694454474662,-4,"11/09/2023 13:47:54",142342,3,"questionnaire-tzdp",NA,31633739,9349473,NA,"complete","cewygc","3PXX5PX6L3XB47VB8FQWZM0CTOLBA7","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"1","2","SUPAMT98418"
"1",1695065913431,"18/09/2023 19:38:33",1695051513431,-4,"18/09/2023 11:38:33",142342,3,"questionnaire-tzdp",NA,31721855,9376594,NA,"complete","hphknm","3Y4W8Q93L5JOBSWTX68YQZ2PGY7VD1","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"1","2","SUPAMT58158"
"1",1695069565932,"18/09/2023 20:39:25",1695051565932,-5,"18/09/2023 10:39:25",142342,3,"questionnaire-tzdp",NA,31721865,9376599,NA,"complete","mskdfg","3H7Z272LXD6U4KNPOBXN3KLC44IPL7","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x747",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"1","2","SUPAMT11088"
"1",1695065998181,"18/09/2023 19:39:58",1695051598181,-4,"18/09/2023 11:39:58",142342,3,"questionnaire-tzdp",NA,31721879,9376603,NA,"complete","ajzzwm","3TUI152ZZHM2EPK0VEUTJA28A9PQ1C","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"1","2","SUPAMT11650"
"1",1695066006636,"18/09/2023 19:40:06",1695051606636,-4,"18/09/2023 11:40:06",142342,3,"questionnaire-tzdp",NA,31721882,9376604,NA,"complete","davaox","3I2PTA7R3ZT4KQ6M3O0BOPY7K2AQKB","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"1","2","SUPAMT38095"
"1",1695066066119,"18/09/2023 19:41:06",1695051666119,-4,"18/09/2023 11:41:06",142342,3,"questionnaire-tzdp",NA,31721902,9376609,NA,"complete","yeakrc","33CID5710ASNXVI2QD0GQHIBYNGL3A","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"1","2","SUPAMT41746"
"1",1695087875234,"19/09/2023 01:44:35",1695073475234,-4,"18/09/2023 17:44:35",142342,3,"questionnaire-tzdp",NA,31721960,9376625,NA,"complete","mysxmv","3QY7M81QHDLUE8177PR5OYHCEPY7KZ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"1","2","SUPAMT93290"
"1",1695066742666,"18/09/2023 19:52:22",1695052342666,-4,"18/09/2023 11:52:22",142342,3,"questionnaire-tzdp",NA,31722132,9376653,NA,"complete","xxpdpg","3DY4FPOOA7NIC2FYF73IVOJTVZ0RV5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT53772"
"1",1695066758248,"18/09/2023 19:52:38",1695052358248,-4,"18/09/2023 11:52:38",142342,3,"questionnaire-tzdp",NA,31722143,9376661,NA,"complete","aowpig","336KAV9KYWRICCTI5SB11FFF1OKY24","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"1","2","SUPAMT95242"
"1",1695067039756,"18/09/2023 19:57:19",1695052639756,-4,"18/09/2023 11:57:19",142342,3,"questionnaire-tzdp",NA,31722246,9376596,NA,"complete","pqolde","39JEC753700E60QFXADN6TK7VYVVC1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x651",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"1","2","SUPAMT74611"
"1",1695067169258,"18/09/2023 19:59:29",1695052769258,-4,"18/09/2023 11:59:29",142342,3,"questionnaire-tzdp",NA,31722284,9376689,NA,"complete","onpeat","3PQ8K71NH3J6LXQJ21Q04BG6ALCAAG","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"1","2","SUPAMT32156"
"1",1695070893348,"18/09/2023 21:01:33",1695052893348,-5,"18/09/2023 11:01:33",142342,3,"questionnaire-tzdp",NA,31722321,9376698,NA,"complete","ppvtpm","3U84XHCDIICSKGIA5SW881LFSHJZ4Y","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"1","2","SUPAMT28961"
"1",1695067412376,"18/09/2023 20:03:32",1695053012376,-4,"18/09/2023 12:03:32",142342,3,"questionnaire-tzdp",NA,31722355,9376704,NA,"complete","yeypek","3FIJLY1B60384SDT20UP87GS78JFPF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"1","2","SUPAMT73359"
"1",1695066996198,"18/09/2023 19:56:36",1695052596198,-4,"18/09/2023 11:56:36",142342,3,"questionnaire-tzdp",NA,31722422,9376721,NA,"complete","dtenyh","3B4YI393VFVELPY701YIAB4IJK8SSJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"1","2","SUPAMT75922"
"1",1695067708969,"18/09/2023 20:08:28",1695053308969,-4,"18/09/2023 12:08:28",142342,3,"questionnaire-tzdp",NA,31722439,9376725,NA,"complete","btclcz","3C8HJ7UOPDT8O67GBWW4UV2FE81ZMQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT43489"
"1",1695089560979,"19/09/2023 02:12:40",1695075160979,-4,"18/09/2023 18:12:40",142342,3,"questionnaire-tzdp",NA,31722505,9376686,NA,"complete","jhxukx","3W92K5RLW0GT7FH0I0QFSNEX3HA5V4","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"1","2","SUPAMT98352"
