"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Slider_LH.object.2.Value","Random_ID"
"1",1695978243424,"29/09/2023 09:04:03",1695953043424,-7,"28/09/2023 19:04:03",144339,5,"questionnaire-txxf",NA,31934614,9444464,NA,"complete","ihzpok","3F6KKYWMNH0B3NNKVFM7GI8CWHDDNK","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x963",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"LH","In","74","SUPAMT77346"
"1",1695971610489,"29/09/2023 07:13:30",1695953610489,-5,"28/09/2023 21:13:30",144339,5,"questionnaire-txxf",NA,31934637,9444509,NA,"complete","xwbaof","3UJ1CZ6IZNODFN0WO5LAH0UQ6ZRS57","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1352x915",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"HL","In","-17","SUPAMT79962"
"1",1695985020046,"29/09/2023 10:57:00",1695959820046,-7,"28/09/2023 20:57:00",144339,5,"questionnaire-txxf",NA,31934996,9444660,NA,"complete","kfevth","3GGAI1SQE1XVGDW6JICWJX1U6S4CMY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1600x900","1600x757",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"LH","In","100","SUPAMT85773"
"1",1695977609541,"29/09/2023 08:53:29",1695963209541,-4,"29/09/2023 00:53:29",144339,5,"questionnaire-txxf",NA,31935123,9444689,NA,"complete","obzkhc","3FTOP5WARLNLLDV5456K847CT9G0JT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"HL","In","53","SUPAMT98014"
"1",1695981410942,"29/09/2023 09:56:50",1695967010942,-4,"29/09/2023 01:56:50",144339,5,"questionnaire-txxf",NA,31935273,9444758,NA,"complete","zvxlrc","33JKGHPFYITE7HTX88LAZ8V65WNNMW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"LH","In","100","SUPAMT99469"
"1",1695990883083,"29/09/2023 12:34:43",1695976483083,-4,"29/09/2023 04:34:43",144339,5,"questionnaire-txxf",NA,31936210,9445077,NA,"complete","dywfjb","3PPTZCWALWJZ9L583P3LB4MKPBEQZP","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"HL","In","90","SUPAMT79316"
"1",1696002870547,"29/09/2023 15:54:30",1695988470547,-4,"29/09/2023 07:54:30",144339,5,"questionnaire-txxf",NA,31940508,9446440,NA,"complete","jkqwtu","3570Y55XZVI8R61P47WQ3J9GDVMGYG","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1364x768","1364x625",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"LH","In","76","SUPAMT84633"
"1",1696004969853,"29/09/2023 16:29:29",1695990569853,-4,"29/09/2023 08:29:29",144339,5,"questionnaire-txxf",NA,31941829,9446640,NA,"complete","mggdmg","3TEM0PF1QBW8IRVDU9K956CZOQRD02","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"LH","In","100","SUPAMT83768"
"1",1695973488478,"29/09/2023 07:44:48",1696002288478,8,"29/09/2023 23:44:48",144339,5,"questionnaire-txxf",NA,31945305,9447609,NA,"complete","mxmddf","33F859I56CCQEU3PEL0OG8NG7NNBH3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1680x1050","1680x855",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"HL","In","-17","SUPAMT59520"
"1",1696019753159,"29/09/2023 20:35:53",1696005353159,-4,"29/09/2023 12:35:53",144339,5,"questionnaire-txxf",NA,31946496,9447893,NA,"complete","rijfea","3MTMREQS41H3SATM36MSM0DX4TFAW7","computer","Desktop or Laptop","Windows 10","Firefox 118.0","1920x1080","1920x927",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"HL","In","47","SUPAMT44713"
"1",1696025153984,"29/09/2023 22:05:53",1696007153984,-5,"29/09/2023 12:05:53",144339,5,"questionnaire-txxf",NA,31946905,9447987,NA,"complete","mmghxq","3LQ8PUHQFRR012HVKVS52VRT2DKIHW","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x963",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"LH","In","42","SUPAMT74748"
"1",1696026909783,"29/09/2023 22:35:09",1696008909783,-5,"29/09/2023 12:35:09",144339,5,"questionnaire-txxf",NA,31947234,9448071,NA,"complete","hqhsls","3TAYZSBPLR7LGQH96MJCJTREMS8S2K","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"HL","In","65","SUPAMT13490"
"1",1696039116227,"30/09/2023 01:58:36",1696013916227,-7,"29/09/2023 11:58:36",144339,5,"questionnaire-txxf",NA,31948546,9448447,NA,"complete","ftbarf","38BQUHLA92ZWP2T99NLNEXVBV9AOM0","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x974",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"LH","In","53","SUPAMT98515"
"1",1696013141038,"29/09/2023 18:45:41",1696016741038,1,"29/09/2023 20:45:41",144339,5,"questionnaire-txxf",NA,31949172,9448594,NA,"complete","srxbrz","3NC5L260MULQJS1SN0HAJ7B2Y98FOW","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x864","1536x715",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"HL","In","73","SUPAMT42721"
"1",1696052572969,"30/09/2023 05:42:52",1696027372969,-7,"29/09/2023 15:42:52",144339,5,"questionnaire-txxf",NA,31950647,9448904,NA,"complete","gqsmgp","3KRVW3HTZTKBNUL2G42WY25CS0MSME","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x931",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"LH","In","47","SUPAMT24909"
"1",1696051092386,"30/09/2023 05:18:12",1696036692386,-4,"29/09/2023 21:18:12",144339,5,"questionnaire-txxf",NA,31951846,9449073,NA,"complete","gphvsa","3ITXP059P2ILMMFHD7P4IADVO8DSJ0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"LH","In","83","SUPAMT83327"
