,A : bored,B : constraint,D : end,E : end_taper,F : exp_OCT,G : external OCT,H : external_distraction,I : frequency_ratings,J : frustrated,K : happy_asmood,L : insight,N : mind_wander,O : no_choice_frustration,P : positive_extOCT,Q : time_itself,R : unhappy
211 : MDPRF74334,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
212 : MDPRF74534,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
213 : MDPRF74611,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214 : MDPRF74615,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2
215 : MDPRF75040,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
216 : MDPRF75094,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
217 : MDPRF75571,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
218 : MDPRF75810,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
219 : MDPRF75922,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
220 : MDPRF76266,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
221 : MDPRF76571,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
222 : MDPRF76619,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
223 : MDPRF76708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224 : MDPRF77195,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1
225 : MDPRF77316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
226 : MDPRF77319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227 : MDPRF77371,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
228 : MDPRF77666,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229 : MDPRF78020,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
230 : MDPRF78157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231 : MDPRF78669,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
232 : MDPRF79503,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
233 : MDPRF79546,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
234 : MDPRF80434,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
235 : MDPRF80769,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
236 : MDPRF80780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
237 : MDPRF80859,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
