"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Custom.study.tncs.accepted.at","Random_ID"
"59","APPROVED","2023-12-06T18:43:21.605000Z","2023-12-06T19:25:06.468000Z","2023-12-07T11:25:13.355000Z","2023-12-06T19:25:07.075033Z",2505,"C1FKYHSS",550,"English, Tagalog-Filipino","21","Female","Asian","Philippines","United Kingdom","Ireland","English","Yes","Part-Time","","MDPRF85773"
"60","APPROVED","2023-12-06T18:43:19.475000Z","2023-12-06T19:24:42.090000Z","2023-12-07T11:30:36.175000Z","2023-12-06T19:24:42.626715Z",2483,"C1FKYHSS",707,"English","21","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","","MDPRF13079"
"61","APPROVED","2023-12-06T18:44:13.719000Z","2023-12-06T19:25:39.365000Z","2023-12-07T11:44:04.179000Z","2023-12-06T19:25:39.914603Z",2486,"C1FKYHSS",904,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","","MDPRF53694"
"62","APPROVED","2023-12-06T18:46:40.034000Z","2023-12-06T19:39:47.315000Z","2023-12-07T11:32:00.564000Z","2023-12-06T19:39:47.792739Z",3188,"C1FKYHSS",421,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF94886"
"63","APPROVED","2023-12-06T18:44:41.203000Z","2023-12-06T19:29:56.708000Z","2023-12-07T10:53:58.637000Z","2023-12-06T19:29:57.382118Z",2716,"C1FKYHSS",720,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF55701"
"64","APPROVED","2023-12-06T18:46:07.635000Z","2023-12-06T19:26:05.797000Z","2023-12-07T11:33:08.112000Z","2023-12-06T19:26:06.458230Z",2399,"C1FKYHSS",1851,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF58446"
"65","APPROVED","2023-12-07T10:16:01.974000Z","2023-12-07T12:03:23.698000Z","2023-12-07T13:06:03.465000Z","2023-12-07T12:03:24.266188Z",6442,"C1FKYHSS",1368,"English, Polish","25","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF76846"
"66","APPROVED","2023-12-07T12:26:12.061000Z","2023-12-07T13:07:11.329000Z","2023-12-07T16:00:36.138000Z","2023-12-07T13:07:11.841188Z",2460,"C1FKYHSS",309,"English, Polish","22","Female","White","Poland","United Kingdom","Poland","Polish","Yes","Part-Time","","MDPRF65573"
"67","APPROVED","2023-12-07T12:21:39.821000Z","2023-12-07T13:08:40.855000Z","2023-12-07T16:00:36.863000Z","2023-12-07T13:08:41.359353Z",2822,"C1FKYHSS",438,"English","21","Female","Black","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF44703"
"68","APPROVED","2023-12-07T12:30:46.221000Z","2023-12-07T13:23:47.873000Z","2023-12-07T16:00:37.586000Z","2023-12-07T13:23:48.405937Z",3182,"C1FKYHSS",21,"English","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)","","MDPRF72836"
"69","APPROVED","2023-12-07T12:37:07.502000Z","2023-12-07T13:34:51.690000Z","2023-12-07T16:00:38.306000Z","2023-12-07T13:34:52.290744Z",3465,"C1FKYHSS",31,"Albanian, English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","","MDPRF30660"
"70","APPROVED","2023-12-07T12:38:17.370000Z","2023-12-07T13:30:00.106000Z","2023-12-07T16:06:05.880000Z","2023-12-07T13:30:00.578738Z",3103,"NOCODE",1107,"German, English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","","MDPRF80741"
"71","APPROVED","2023-12-06T18:18:51.779000Z","2023-12-07T09:58:09.937000Z","2023-12-07T09:58:10.340000Z","",56359,"Manual Completion",101,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF29165"
"72","APPROVED","2023-12-06T17:33:11.161000Z","2023-12-06T18:31:43.704000Z","2023-12-07T11:30:30.412000Z","2023-12-06T18:31:44.670000Z",3513,"C1FKYHSS",242,"English, Korean","23","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","MDPRF73724"
"73","APPROVED","2023-12-06T17:42:18.405000Z","2023-12-06T18:25:47.440000Z","2023-12-07T11:43:59.132000Z","2023-12-06T18:25:48.294000Z",2610,"C1FKYHSS",183,"Bengali, English","24","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","Not Applicable","MDPRF62430"
"74","APPROVED","2023-12-06T17:42:44.569000Z","2023-12-06T18:27:43.867000Z","2023-12-07T11:25:06.140000Z","2023-12-06T18:27:44.871000Z",2700,"C1FKYHSS",156,"English","19","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF55461"
"75","APPROVED","2023-12-06T17:50:00.125000Z","2023-12-06T18:25:45.852000Z","2023-12-07T10:49:55.772000Z","2023-12-06T18:25:46.699000Z",2146,"C1FKYHSS",1295,"English","26","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","MDPRF82002"
"76","APPROVED","2023-12-06T17:56:01.750000Z","2023-12-06T18:43:43.300000Z","2023-12-07T11:25:11.150000Z","2023-12-06T18:43:44.384000Z",2862,"C1FKYHSS",483,"Chinese, English","24","Female","Asian","United Kingdom","United Kingdom","United Kingdom","Chinese","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF02309"
"77","APPROVED","2023-12-06T17:56:31.912000Z","2023-12-06T18:56:01.043000Z","2023-12-07T10:53:51.407000Z","2023-12-06T18:56:01.805000Z",3570,"C1FKYHSS",960,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF89096"
"78","APPROVED","2023-12-06T17:59:08.726000Z","2023-12-06T18:47:53.942000Z","2023-12-07T11:30:35.423000Z","2023-12-06T18:47:54.769000Z",2926,"C1FKYHSS",102,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF27041"
"79","APPROVED","2023-12-06T17:59:19.159000Z","2023-12-06T18:49:29.594000Z","2023-12-07T10:53:56.441000Z","2023-12-06T18:49:31.332000Z",3011,"C1FKYHSS",93,"English","21","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF86222"
"80","APPROVED","2023-12-06T17:59:54.660000Z","2023-12-06T18:37:57.575000Z","2023-12-07T11:25:11.569000Z","2023-12-06T18:37:58.537000Z",2283,"C1FKYHSS",1014,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","Not Applicable","MDPRF69845"
