"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","Slider_LH.object.2.Value","branch.mcuq","Random_ID"
1,1692875917877,"24/08/2023 11:18",1692879517877,1,"24/08/2023 13:18",140895,11,"questionnaire-txxf",NA,31338940,NA,"complete",NA,"64e73b372df0672f1f68065b","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1920x924",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",75,"","MDPRF12547"
1,1692886471498,"24/08/2023 14:14",1692890071498,1,"24/08/2023 16:14",140895,11,"questionnaire-txxf",NA,31343991,NA,"complete",NA,"64e765a0c5ab9947dc7e4b9a","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","2560x1440","2560x1323",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",-47,"","MDPRF33361"
1,1692891586748,"24/08/2023 15:39",1692895186748,1,"24/08/2023 17:39",140895,11,"questionnaire-txxf",NA,31345924,NA,"complete",NA,"64e778d882cf7b155ffc55ff","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x815",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",45,"","MDPRF71005"
1,1692998349766,"25/08/2023 21:19",1693001949766,1,"25/08/2023 23:19",140895,11,"questionnaire-txxf",NA,31368726,NA,"complete",NA,"64e91923c219a222500badce","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.4","1680x1050","1680x970",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",49,"","MDPRF51078"
1,1693000590588,"25/08/2023 21:56",1693004190588,1,"25/08/2023 23:56",140895,11,"questionnaire-txxf",NA,31369081,NA,"complete",NA,"64e9208a9d475fd37156b457","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","958x913",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",-12,"","MDPRF98981"
1,1693303718035,"29/08/2023 10:08",1693307318035,1,"29/08/2023 12:08",140895,11,"questionnaire-txxf",NA,31400650,NA,"complete",NA,"64edc271e88d62c5288c6a0c","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1417x938",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",-25,"","MDPRF06248"
1,1693311665848,"29/08/2023 12:21",1693315265848,1,"29/08/2023 14:21",140895,11,"questionnaire-txxf",NA,31403521,NA,"complete",NA,"64ede02c7b1170d446b4f634","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",68,"","MDPRF87563"
1,1693043960068,"26/08/2023 09:59",1693047560068,1,"26/08/2023 11:59",140895,11,"questionnaire-txxf",NA,31373752,NA,"complete",NA,"64e9c9c819f6a810c4677508","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",-47,"","MDPRF61705"
1,1693047509065,"26/08/2023 10:58",1693051109065,1,"26/08/2023 12:58",140895,11,"questionnaire-txxf",NA,31374002,NA,"complete",NA,"64e9d90f1c7d214f420d3859","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x1001",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",37,"","MDPRF47953"
1,1693048401797,"26/08/2023 11:13",1693052001797,1,"26/08/2023 13:13",140895,11,"questionnaire-txxf",NA,31374063,NA,"complete",NA,"64e9dcecb8096b93e7a4868a","computer","Desktop or Laptop","Linux x86_64","Chrome 114.0.0.0","1920x1080","1536x774",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",-73,"","MDPRF88145"
1,1693077937463,"26/08/2023 19:25",1693081537463,1,"26/08/2023 21:25",140895,11,"questionnaire-txxf",NA,31378182,NA,"complete",NA,"64ea50d2839f1fb3977888e8","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1200x800","1200x670",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",52,"","MDPRF80130"
1,1693084444314,"26/08/2023 21:14",1693088044314,1,"26/08/2023 23:14",140895,11,"questionnaire-txxf",NA,31378809,NA,"complete",NA,"64ea6a0d9d6cddb270b45219","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x643",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",72,"","MDPRF97792"
1,1693174201741,"27/08/2023 22:10",1693177801741,1,"28/08/2023 00:10",140895,11,"questionnaire-txxf",NA,31384026,NA,"complete",NA,"64ebc99402fa49fbdc859e88","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x955",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",28,"","MDPRF09619"
1,1693244159508,"28/08/2023 17:35",1693247759508,1,"28/08/2023 19:35",140895,11,"questionnaire-txxf",NA,31393002,NA,"complete",NA,"64ecd9e87f3df9a7d2046281","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",73,"","MDPRF96614"
